Type,Library,Test,Result
4. Roundtrip,RapidJSON (C++),roundtrip14,true
4. Roundtrip,RapidJSON (C++),roundtrip15,true
4. Roundtrip,RapidJSON (C++),roundtrip16,true
4. Roundtrip,RapidJSON (C++),roundtrip17,true
4. Roundtrip,RapidJSON (C++),roundtrip18,true
4. Roundtrip,RapidJSON (C++),roundtrip19,true
4. Roundtrip,RapidJSON (C++),roundtrip20,true
4. Roundtrip,RapidJSON (C++),roundtrip21,true
4. Roundtrip,RapidJSON (C++),roundtrip22,true
4. Roundtrip,RapidJSON (C++),roundtrip23,true
4. Roundtrip,RapidJSON (C++),roundtrip24,true
4. Roundtrip,RapidJSON (C++),roundtrip25,true
4. Roundtrip,RapidJSON (C++),roundtrip26,true
4. Roundtrip,RapidJSON (C++),roundtrip27,true
1. Parse Validation,Jsonic++ (C++17),pass01,true
1. Parse Validation,Jsonic++ (C++17),pass02,true
1. Parse Validation,Jsonic++ (C++17),pass03,true
1. Parse Validation,Jsonic++ (C++17),fail02,true
1. Parse Validation,Jsonic++ (C++17),fail03,true
1. Parse Validation,Jsonic++ (C++17),fail04,true
1. Parse Validation,Jsonic++ (C++17),fail05,true
1. Parse Validation,Jsonic++ (C++17),fail06,true
1. Parse Validation,Jsonic++ (C++17),fail07,true
1. Parse Validation,Jsonic++ (C++17),fail08,true
1. Parse Validation,Jsonic++ (C++17),fail09,true
1. Parse Validation,Jsonic++ (C++17),fail10,true
1. Parse Validation,Jsonic++ (C++17),fail11,true
1. Parse Validation,Jsonic++ (C++17),fail12,true
1. Parse Validation,Jsonic++ (C++17),fail13,true
1. Parse Validation,Jsonic++ (C++17),fail14,true
1. Parse Validation,Jsonic++ (C++17),fail15,true
1. Parse Validation,Jsonic++ (C++17),fail16,true
1. Parse Validation,Jsonic++ (C++17),fail17,true
1. Parse Validation,Jsonic++ (C++17),fail19,true
1. Parse Validation,Jsonic++ (C++17),fail20,true
1. Parse Validation,Jsonic++ (C++17),fail21,true
1. Parse Validation,Jsonic++ (C++17),fail22,true
1. Parse Validation,Jsonic++ (C++17),fail23,true
1. Parse Validation,Jsonic++ (C++17),fail24,true
1. Parse Validation,Jsonic++ (C++17),fail25,true
1. Parse Validation,Jsonic++ (C++17),fail26,true
1. Parse Validation,Jsonic++ (C++17),fail27,true
1. Parse Validation,Jsonic++ (C++17),fail28,true
1. Parse Validation,Jsonic++ (C++17),fail29,true
1. Parse Validation,Jsonic++ (C++17),fail30,true
1. Parse Validation,Jsonic++ (C++17),fail31,true
1. Parse Validation,Jsonic++ (C++17),fail32,true
1. Parse Validation,Jsonic++ (C++17),fail33,true
2. Parse Double,Jsonic++ (C++17),double01,true
2. Parse Double,Jsonic++ (C++17),double02,true
2. Parse Double,Jsonic++ (C++17),double03,true
2. Parse Double,Jsonic++ (C++17),double04,true
2. Parse Double,Jsonic++ (C++17),double05,true
2. Parse Double,Jsonic++ (C++17),double06,true
2. Parse Double,Jsonic++ (C++17),double07,true
2. Parse Double,Jsonic++ (C++17),double08,true
2. Parse Double,Jsonic++ (C++17),double09,true
2. Parse Double,Jsonic++ (C++17),double10,true
2. Parse Double,Jsonic++ (C++17),double11,true
2. Parse Double,Jsonic++ (C++17),double12,true
2. Parse Double,Jsonic++ (C++17),double13,true
2. Parse Double,Jsonic++ (C++17),double14,true
2. Parse Double,Jsonic++ (C++17),double15,true
2. Parse Double,Jsonic++ (C++17),double16,true
2. Parse Double,Jsonic++ (C++17),double17,true
2. Parse Double,Jsonic++ (C++17),double18,true
2. Parse Double,Jsonic++ (C++17),double19,true
2. Parse Double,Jsonic++ (C++17),double20,true
2. Parse Double,Jsonic++ (C++17),double21,true
2. Parse Double,Jsonic++ (C++17),double22,true
2. Parse Double,Jsonic++ (C++17),double23,true
2. Parse Double,Jsonic++ (C++17),double24,true
2. Parse Double,Jsonic++ (C++17),double25,true
2. Parse Double,Jsonic++ (C++17),double26,true
2. Parse Double,Jsonic++ (C++17),double27,true
2. Parse Double,Jsonic++ (C++17),double28,true
2. Parse Double,Jsonic++ (C++17),double29,true
2. Parse Double,Jsonic++ (C++17),double30,true
2. Parse Double,Jsonic++ (C++17),double31,true
2. Parse Double,Jsonic++ (C++17),double32,true
2. Parse Double,Jsonic++ (C++17),double33,true
2. Parse Double,Jsonic++ (C++17),double34,true
2. Parse Double,Jsonic++ (C++17),double35,true
2. Parse Double,Jsonic++ (C++17),double36,true
2. Parse Double,Jsonic++ (C++17),double37,true
2. Parse Double,Jsonic++ (C++17),double38,true
2. Parse Double,Jsonic++ (C++17),double39,true
2. Parse Double,Jsonic++ (C++17),double40,true
2. Parse Double,Jsonic++ (C++17),double41,true
2. Parse Double,Jsonic++ (C++17),double42,true
2. Parse Double,Jsonic++ (C++17),double43,true
2. Parse Double,Jsonic++ (C++17),double44,true
2. Parse Double,Jsonic++ (C++17),double45,true
2. Parse Double,Jsonic++ (C++17),double46,true
2. Parse Double,Jsonic++ (C++17),double47,true
2. Parse Double,Jsonic++ (C++17),double48,true
2. Parse Double,Jsonic++ (C++17),double49,true
2. Parse Double,Jsonic++ (C++17),double50,true
2. Parse Double,Jsonic++ (C++17),double51,true
2. Parse Double,Jsonic++ (C++17),double52,true
2. Parse Double,Jsonic++ (C++17),double53,true
2. Parse Double,Jsonic++ (C++17),double54,true
2. Parse Double,Jsonic++ (C++17),double55,true
2. Parse Double,Jsonic++ (C++17),double56,true
2. Parse Double,Jsonic++ (C++17),double57,true
2. Parse Double,Jsonic++ (C++17),double58,true
2. Parse Double,Jsonic++ (C++17),double59,true
2. Parse Double,Jsonic++ (C++17),double60,true
2. Parse Double,Jsonic++ (C++17),double61,true
2. Parse Double,Jsonic++ (C++17),double62,true
2. Parse Double,Jsonic++ (C++17),double63,true
2. Parse Double,Jsonic++ (C++17),double64,true
2. Parse Double,Jsonic++ (C++17),double65,true
2. Parse Double,Jsonic++ (C++17),double66,true
3. Parse String,Jsonic++ (C++17),string01,true
3. Parse String,Jsonic++ (C++17),string02,true
3. Parse String,Jsonic++ (C++17),string03,true
3. Parse String,Jsonic++ (C++17),string04,true
3. Parse String,Jsonic++ (C++17),string05,true
3. Parse String,Jsonic++ (C++17),string06,true
3. Parse String,Jsonic++ (C++17),string07,true
3. Parse String,Jsonic++ (C++17),string08,true
3. Parse String,Jsonic++ (C++17),string09,true
4. Roundtrip,Jsonic++ (C++17),roundtrip01,true
4. Roundtrip,Jsonic++ (C++17),roundtrip02,true
4. Roundtrip,Jsonic++ (C++17),roundtrip03,true
4. Roundtrip,Jsonic++ (C++17),roundtrip04,true
4. Roundtrip,Jsonic++ (C++17),roundtrip05,true
4. Roundtrip,Jsonic++ (C++17),roundtrip06,true
4. Roundtrip,Jsonic++ (C++17),roundtrip07,true
4. Roundtrip,Jsonic++ (C++17),roundtrip08,true
4. Roundtrip,Jsonic++ (C++17),roundtrip09,true
4. Roundtrip,Jsonic++ (C++17),roundtrip10,true
4. Roundtrip,Jsonic++ (C++17),roundtrip11,true
4. Roundtrip,Jsonic++ (C++17),roundtrip12,true
4. Roundtrip,Jsonic++ (C++17),roundtrip13,false
4. Roundtrip,Jsonic++ (C++17),roundtrip14,true
4. Roundtrip,Jsonic++ (C++17),roundtrip15,true
4. Roundtrip,Jsonic++ (C++17),roundtrip16,true
4. Roundtrip,Jsonic++ (C++17),roundtrip17,true
4. Roundtrip,Jsonic++ (C++17),roundtrip18,false
4. Roundtrip,Jsonic++ (C++17),roundtrip19,false
4. Roundtrip,Jsonic++ (C++17),roundtrip20,false
4. Roundtrip,Jsonic++ (C++17),roundtrip21,false
4. Roundtrip,Jsonic++ (C++17),roundtrip22,true
4. Roundtrip,Jsonic++ (C++17),roundtrip23,true
4. Roundtrip,Jsonic++ (C++17),roundtrip24,false
4. Roundtrip,Jsonic++ (C++17),roundtrip25,false
4. Roundtrip,Jsonic++ (C++17),roundtrip26,false
4. Roundtrip,Jsonic++ (C++17),roundtrip27,false
